Model,Condition,Symbol,MAE,MSE,R2
GRU,wN20_k1,AMD,0.0463771268769956,0.0037764596300943,0.8725706464719712
GRU,wN20_k1,KO,0.0141810406080626,0.0003824198936643,0.913891724390195
GRU,wN20_k1,GOOG,0.0412104025972505,0.0099821600181051,-1.1768084558892895
GRU,wN20_k1,TSM,0.0309360745776378,0.0016825471611649,0.9269374038018576
GRU,wN20_k3,WMT,0.0119484834070079,0.0002890512752593,0.7981966053842909
GRU,wN20_k3,AMD,0.0524366384058315,0.0052656174293858,0.822321885925789
GRU,wN20_k3,KO,0.0138459146837128,0.0003665479597751,0.917465557447627
GRU,wN20_k3,GOOG,0.0289638912157276,0.0014325063969335,0.6876134992521898
GRU,wN20_k3,TSM,0.0361055393095691,0.0022462683224361,0.9024584872371744
LSTM,wN20_k6,GOOG,0.0224827702533756,0.0010140157490387,0.7788737053995424
LSTM,wN20_k6,WMT,0.0160116990010631,0.0004699297054138,0.6719149234052395
LSTM,wN20_k6,TSM,0.0315844926388544,0.0017513612759441,0.9239492332489664
LSTM,wN20_k6,AMD,0.0445557212799915,0.0035346363502777,0.8807305070910247
LSTM,wN20_k6,KO,0.0135112485915397,0.0003610032367545,0.9187140451595404
LSTM,wN10_k3,GOOG,0.0300966747859187,0.0018152900335709,0.6041399168314662
LSTM,wN10_k3,WMT,0.0137187575413742,0.0003586947637412,0.749574462562375
LSTM,wN10_k3,TSM,0.0288296517847744,0.0015257120084566,0.933747782551696
LSTM,wN10_k3,AMD,0.044761100418966,0.0035079293864505,0.8816316821249327
LSTM,wN10_k3,KO,0.0133185178777286,0.000339480222759,0.923560314016842
LSTM,wN10_k6,GOOG,0.0293019014575447,0.0015161491941209,0.6693735243508192
LSTM,wN10_k6,WMT,0.0145896169722254,0.0003917661468538,0.7264854193786624
LSTM,wN10_k6,TSM,0.0397777421381489,0.0026906749334418,0.8831606621793519
LSTM,wN10_k6,AMD,0.0449674246650207,0.0036322753848497,0.8774358660056386
LSTM,wN10_k6,KO,0.015255778097147,0.0004167860076975,0.9061536153957775
LSTM,wN10_k1,GOOG,0.0420383328384765,0.0032455567807711,0.2922418162364231
LSTM,wN10_k1,WMT,0.0134156891354288,0.0003316020606686,0.7684894438038856
LSTM,wN10_k1,TSM,0.0345924885330244,0.0020409877342329,0.9113725510265174
LSTM,wN10_k1,AMD,0.0465936262866313,0.0041204206658804,0.8609643440823548
LSTM,wN10_k1,KO,0.017415823760273,0.0005277920919769,0.8811587271646714
LSTM,wN20_k1,GOOG,0.027572180915311,0.0013430003248773,0.7071320778115513
LSTM,wN20_k1,WMT,0.0153643368206202,0.0004361239556907,0.6955166703462607
LSTM,wN20_k1,TSM,0.0310895556465595,0.0017505173165619,0.9239858811747852
LSTM,wN20_k1,AMD,0.0438978038550696,0.0034762855346856,0.8826994429296291
LSTM,wN20_k1,KO,0.0160467744304923,0.0004561032725862,0.8973006714528893
LSTM,wN20_k3,GOOG,0.0261212237274769,0.001298843750464,0.7167612967773507
LSTM,wN20_k3,WMT,0.0159073480650728,0.0004887388805217,0.6587831516001436
LSTM,wN20_k3,TSM,0.0320590205989126,0.0018841559684568,0.91818278270288
LSTM,wN20_k3,AMD,0.0437662425143239,0.0035442512650333,0.8804060703191431
LSTM,wN20_k3,KO,0.0129839620600306,0.0003299853355216,0.9256982476878474
RNN,wN20_k6,AMD,0.0474191139710674,0.0041831709788,0.858846955683627
RNN,wN20_k6,GOOG,0.0242944180337874,0.0011238696147896,0.7549178858729998
RNN,wN20_k6,WMT,0.0140801466557456,0.0003213883007437,0.7756202596868829
RNN,wN20_k6,TSM,0.0330623919105079,0.0019662315145547,0.9146187503710096
RNN,wN20_k6,KO,0.0168647108354435,0.0005219933471451,0.8824644121628596
RNN,wN10_k3,AMD,0.0527323552042598,0.0051317261069545,0.8268397906120917
RNN,wN10_k3,GOOG,0.0232104811946652,0.0010053265717913,0.780768553255379
RNN,wN10_k3,WMT,0.0278414689301174,0.0010951959275041,0.2353804502633375
RNN,wN10_k3,TSM,0.0390063365956115,0.0027250299098453,0.8816688384573763
RNN,wN10_k3,KO,0.0167412008210626,0.0004965158956011,0.8882010891917693
RNN,wN10_k6,AMD,0.0595472334928116,0.0063726450864706,0.7849673707190571
RNN,wN10_k6,GOOG,0.0344071882194425,0.0020500306466151,0.552950059076375
RNN,wN10_k6,WMT,0.0138681020214106,0.0003818074750315,0.7334381435201045
RNN,wN10_k6,TSM,0.0323642079379039,0.001834201736715,0.9203519854131408
RNN,wN10_k6,KO,0.0159937304492201,0.0004314499346847,0.9028517854244444
RNN,wN10_k1,AMD,0.0541161122949931,0.0053716428021537,0.8187442640172388
RNN,wN10_k1,GOOG,0.0269580090419352,0.0012564101200874,0.7260147935406147
RNN,wN10_k1,WMT,0.0263819788581209,0.0009910630388721,0.3080816358858624
RNN,wN10_k1,TSM,0.0397054623224829,0.0027719405158222,0.8796318015522568
RNN,wN10_k1,KO,0.0716887319707207,0.0071500080418569,-0.6099446531954944
RNN,wN20_k1,AMD,0.0555931612222655,0.0054062403528597,0.8175768363331208
RNN,wN20_k1,GOOG,0.0325216966428959,0.0018756135392228,0.5909851770803696
RNN,wN20_k1,WMT,0.0159115625081658,0.0004129723285016,0.7116801588257897
RNN,wN20_k1,TSM,0.04599513304218,0.0037911860278086,0.8353722853925611
RNN,wN20_k1,KO,0.0162029321097824,0.0004727214920039,0.8935587996478994
RNN,wN20_k3,AMD,0.0593244262191712,0.0060935305920974,0.7943855515185693
RNN,wN20_k3,GOOG,0.0348648799585558,0.0019315838303509,0.5787797423062068
RNN,wN20_k3,WMT,0.0127549912540541,0.000284543902979,0.8013434623775666
RNN,wN20_k3,TSM,0.0354212124194815,0.0021235963100266,0.9077853725182284
RNN,wN20_k3,KO,0.0146918058289215,0.0003972848900493,0.9105446202597198
