MAE,MSE,R2
0.02738758355637921,0.0016200023112433232,0.808337961160607
0.033118839398892784,0.00233236402773128,0.7219475392590321
0.033425245072602486,0.0031196801326253366,0.5329792614999135
0.05952030295650541,0.0067873852856237,0.2856354039722672
