Model,MAE,MSE,R2
RNN,0.02937611218188033,0.00154047238714285,0.6640693685219908
LSTM,0.029602180663017234,0.0017054759721404833,0.6280870562345254
CNN,0.04522125647542638,0.0031584666720963005,0.31123354594660574
GRU,0.05176284805243463,0.0077967897779370006,-0.7002450257881511
