Model,MAE,MSE,R2
LSTM,0.03298882522337903,0.00194056820618235,0.9157331488140329
GRU,0.03454092528312328,0.0021073344507006836,0.908491524291433
RNN,0.037592457371361285,0.0025353643357954,0.8899048389507622
CNN,0.06997529424649239,0.008366792007757183,0.6366820734383689
