Model,MAE,MSE,R2
GRU,0.0147309319284434,0.0004118604851460667,0.712456400906803
LSTM,0.014834574589297414,0.0004128092521483,0.7117940118494278
RNN,0.0184730417046024,0.0005811618289386667,0.594257351759924
CNN,0.03719510397207098,0.0019970911933168832,-0.39428473998896935
