Model,MAE,MSE,R2
LSTM,0.04475698650333384,0.0036359664311962,0.8773113187587871
GRU,0.05152451849267602,0.004877232993092934,0.8354271703680615
RNN,0.05478873373409476,0.00542649265322265,0.8168934614806175
CNN,0.1062816220681584,0.018133755646114767,0.3881113568366364
