Model,MAE,MSE,R2
GRU,0.014567001606335117,0.00040518295625,0.9087662377214207
LSTM,0.014755350802868534,0.0004051916945492833,0.9087642701462614
RNN,0.025363852002525136,0.0015783289335568336,0.6446126755818664
CNN,0.03892823802037887,0.002280820908833367,0.48643478362869436
